,Date,Tweet
83,2023-04-19 13:59:23+00:00,"@LeonardVarga2 @az247cz Ne. Je to kvůli histerii: ""Safety was a paramount concern in the decision to phase out nuclear power: the use of nuclear energy causes highly dangerous radioactive radiation for humans and the environment, and leaves behind highly toxic waste."" https://t.co/i7Km7wsSxT"
84,2023-04-19 13:43:23+00:00,"The whole planet is collateral damage to the nuclear industry who use radioactive materials to make deadly ordnance. 

https://t.co/WG3uXxD7jq"
85,2023-04-19 13:37:17+00:00,"@JHC_53 @LouiseBrookes8 @goddeketal Those millions of tons of coal ash are used in cement to make it more durable, According to the U.S. Department of Energy, nuclear reactors across the country produce more than 2,000 metric tons of radioactive waste a year, with most of it remaining on-site because there’s…"
86,2023-04-19 13:01:15+00:00,"The KJ Show #38 - Nuclear Energy: Clean, Green or Radioactive? https://t.co/959neAX6Xu https://t.co/VoYB9bEpf4"
87,2023-04-19 12:26:29+00:00,"@elonmusk @GRDecter Hmmm, a choice: coal and carbon dioxide or, nuclear and radioactive isotopes? I choose harmless c02."
88,2023-04-19 12:21:01+00:00,"A radioisotope thermoelectric generator is a type of nuclear battery that uses an array of thermocouples to convert the heat released by the decay of a suitable radioactive material into electricity by the Seebeck effect.  

#Radioisotope_thermoelectric_generator #Nuclear_battery… https://t.co/RVwy3lre9R"
89,2023-04-19 12:00:55+00:00,Ulster County lawmakers urge passage of state bills banning discharge of radioactive waste into state waterways https://t.co/abIUPEyiQr
90,2023-04-19 11:56:14+00:00,@Paul13_Walnut5 @Paul1Singh She is a strange one. Regarding nuclear. Radioactive waste not to be dumped in England but it's ok for it to be dumped in Scotland. This is the type of thing that pisses us off big time. https://t.co/dSeC8zqo5o
91,2023-04-19 11:47:07+00:00,"Nuclear War Survival Skills: Knowledge Gives You a Chance to Save Your Life and Those Around You. Live Through the Probable Atomic Threats, Attacks, and Radioactive Fallout. #Amazon🇦🇺
https://t.co/hhJBKxLAP1"
92,2023-04-19 11:46:35+00:00,"Various radioactive elements used in nuclear power, cancer therapy or even household smoke detectors were (co-)discovered by chemist Glenn Seaborg, born #OTD in 1912. His work on Iodine 131 paved the way for modern nuclear medicine &amp; he received @NobelPrize in 1951. @officialEANM https://t.co/ncWp2XFRs6"
93,2023-04-19 11:26:13+00:00,@ShaunBurnie @mark_lynas Fossil fuel is used from uranium mining down every step across the uranium development chain (UDP) to DGR and nuclear fuel reprocessing. The emission of NPP's are radioactive by-products of processed uranium ore. Environmental health don't stand a chance.
94,2023-04-19 11:16:07+00:00,"@stonecut2010 @ivenms @MyloLuxuria @seattle_elite @Not_the_Bee No the Nuclear waste will break down over time. It only takes a long time.
2nd, the waste is actually miniscule. It takes like a 100 nuclear plants to produce the same amount of waste as a coal one.
Meanwhile coal powerplants produce radioactive waste that can NOT be broken down."
95,2023-04-19 09:58:30+00:00,"And finally, for the avoidance of doubt, it’s a myth to say #nuclearpower is renewable. #Nuclear power uses radioactive fuel, a limited source of energy. Check out our new infographic in full here 📊🔗: https://t.co/eltLvxtnZl [END] https://t.co/Y4fVgswwMt"
96,2023-04-19 09:41:30+00:00,~93% of the replacement energy will be from coal and gas. Coal produces ~100x more radioactive waste than nuclear. They have made Germany more radioactive. But they don't care. They are fanatically anti-nuclear and you can't argue with fanatics.
97,2023-04-19 08:56:31+00:00,"@BenPHeard @jordanbpeterson @TerrestrialMSR Fossil fuels release solar energy previously captured by photosynthesis. It's delayed sunshine.

Nuclear power generates of 50% waste heat that did not come from the sun.

Fission power has the additional cost in the burden on next generations to care for radioactive waste."
98,2023-04-19 08:50:53+00:00,"@pabb85 Since the first nuclear bomb test, the level of background radiation in the atmosphere has gone up a tiny, but measurable, amount. Metal, for some reason, absorbs radiation. As a result, all metal in the world is slightly more radioactive now unless..."
99,2023-04-19 08:43:22+00:00,"@BellumPaxBR @Spriter99880 @JBWolfsthal @RichardEvans36 @sajid_nadeem78 @MarkGaleotti So United States is in advance planning of offensive Nuclear first strikes.

Have fun as your cities will be turned to radioactive dust soon.  @strobetalbott

https://t.co/j2uGTLIxfM"
